Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
D2J12,2012-03-27,-1682.421,-1682.421,-1682.421,-1682.421,-2.,+0.12%,0,1093
D2J12,2012-03-26,-1680.421,-1680.421,-1680.421,-1680.421,1,-0.06%,0,1093
D2J12,2012-03-23,-1681.421,-1681.421,-1681.421,-1681.421,0,0.00%,120,1093
D2J12,2012-03-22,-1681.421,-1681.421,-1681.421,-1681.421,0,0.00%,10,1013
D2H12,2012-03-21,-1681.421,-1681.421,-1681.421,-1681.421,0.096,-0.01%,0,1023
D2H12,2012-03-20,-1681.517,-1681.517,-1681.517,-1681.517,-2.143,+0.13%,60,1023
D2H12,2012-03-19,-1679.374,-1679.374,-1679.374,-1679.374,-1.524,+0.09%,0,1013
D2H12,2012-03-16,-1677.85,-1677.85,-1677.85,-1677.85,0,0.00%,0,1013
D2H12,2012-03-15,-1677.85,-1677.85,-1677.85,-1677.85,3.381,-0.20%,20,1013
D2H12,2012-03-14,-1681.231,-1681.231,-1681.231,-1681.231,-1.571,+0.09%,10,1013
D2H12,2012-03-13,-1679.66,-1679.66,-1679.66,-1679.66,6.523,-0.39%,0,1013
D2H12,2012-03-12,-1686.183,-1686.183,-1686.183,-1686.183,-0.285,+0.02%,0,1013
D2H12,2012-03-09,-1685.898,-1685.898,-1685.898,-1685.898,-1.858,+0.11%,0,1013
D2H12,2012-03-08,-1684.04,-1684.04,-1684.04,-1684.04,-2.714,+0.16%,0,1013
D2H12,2012-03-07,-1681.326,-1681.326,-1681.326,-1681.326,2.238,-0.13%,30,1013
D2H12,2012-03-06,-1683.564,-1683.564,-1683.564,-1683.564,1.81,-0.11%,0,1013
D2H12,2012-03-05,-1685.374,-1685.374,-1685.374,-1685.374,-1.905,+0.11%,0,1013
D2H12,2012-03-02,-1683.469,-1683.469,-1683.469,-1683.469,1.381,-0.08%,0,1013
D2H12,2012-03-01,-1684.85,-1684.85,-1684.85,-1684.85,5,-0.30%,0,1013
D2H12,2012-02-29,-1689.85,-1689.85,-1689.85,-1689.85,1,-0.06%,0,1221
D2H12,2012-02-28,-1690.85,-1690.85,-1690.85,-1690.85,-2.,+0.12%,0,1221
D2H12,2012-02-27,-1688.85,-1688.85,-1688.85,-1688.85,2,-0.12%,15,1221
D2H12,2012-02-24,-1690.85,-1690.85,-1690.85,-1690.85,-1.,+0.06%,0,1206
D2H12,2012-02-23,-1689.85,-1689.85,-1689.85,-1689.85,-1.,+0.06%,0,1206
D2G12,2012-02-22,-1688.85,-1688.85,-1688.85,-1688.85,-0.095,+0.01%,0,1206
D2G12,2012-02-21,-1688.755,-1688.755,-1688.755,-1688.755,-0.619,+0.04%,0,1206
D2G12,2012-02-17,-1688.136,-1688.136,-1688.136,-1688.136,-0.048,0.00%,10,1206
D2G12,2012-02-16,-1688.088,-1688.088,-1688.088,-1688.088,3.81,-0.23%,90,1208
D2G12,2012-02-15,-1691.898,-1691.898,-1691.898,-1691.898,0.19,-0.01%,180,1158
D2G12,2012-02-14,-1692.088,-1692.088,-1692.088,-1692.088,-2.667,+0.16%,0,1048
D2G12,2012-02-13,-1689.421,-1689.421,-1689.421,-1689.421,-0.095,+0.01%,0,1048
D2G12,2012-02-10,-1689.326,-1689.326,-1689.326,-1689.326,-2.095,+0.12%,0,1048
D2G12,2012-02-09,-1687.231,-1687.231,-1687.231,-1687.231,-0.238,+0.01%,30,1048
D2G12,2012-02-08,-1686.993,-1686.993,-1686.993,-1686.993,-0.191,+0.01%,0,1048
D2G12,2012-02-07,-1686.802,-1686.802,-1686.802,-1686.802,-0.19,+0.01%,0,1048
D2G12,2012-02-06,-1686.612,-1686.612,-1686.612,-1686.612,-0.619,+0.04%,0,1048
D2G12,2012-02-03,-1685.993,-1685.993,-1685.993,-1685.993,-0.286,+0.02%,0,1048
D2G12,2012-02-02,-1685.707,-1685.707,-1685.707,-1685.707,-0.286,+0.02%,110,1048
D2G12,2012-02-01,-1685.421,-1685.421,-1685.421,-1685.421,6.667,-0.39%,90,1018
D2G12,2012-01-31,-1692.088,-1692.088,-1692.088,-1692.088,-3.,+0.18%,0,1148
D2G12,2012-01-30,-1689.088,-1689.088,-1689.088,-1689.088,-5.,+0.30%,90,1148
D2G12,2012-01-27,-1684.088,-1684.088,-1684.088,-1684.088,3,-0.18%,0,1058
D2G12,2012-01-26,-1687.088,-1687.088,-1687.088,-1687.088,1,-0.06%,0,1058
D2G12,2012-01-25,-1688.088,-1688.088,-1688.088,-1688.088,0,0.00%,0,1058
D2F12,2012-01-24,-1688.088,-1688.088,-1688.088,-1688.088,23.334,-1.36%,0,1058
D2F12,2012-01-23,-1711.422,-1711.422,-1711.422,-1711.422,-24.667,+1.46%,0,1058
D2F12,2012-01-20,-1686.755,-1686.755,-1686.755,-1686.755,0,0.00%,0,1058
D2F12,2012-01-19,-1686.755,-1686.755,-1686.755,-1686.755,-0.809,+0.05%,0,1058
D2F12,2012-01-18,-1685.946,-1685.946,-1685.946,-1685.946,-0.048,0.00%,60,1058
D2F12,2012-01-17,-1685.898,-1685.898,-1685.898,-1685.898,-4.095,+0.24%,100,998
D2F12,2012-01-13,-1681.803,-1681.803,-1681.803,-1681.803,-1.,+0.06%,0,908
D2F12,2012-01-12,-1680.803,-1680.803,-1680.803,-1680.803,-0.429,+0.03%,0,908
D2F12,2012-01-11,-1680.374,-1680.374,-1680.374,-1680.374,4.476,-0.27%,20,908
D2F12,2012-01-10,-1684.85,-1684.85,-1684.85,-1684.85,3.762,-0.22%,0,888
D2F12,2012-01-09,-1688.612,-1688.612,-1688.612,-1688.612,0,0.00%,0,888
D2F12,2012-01-06,-1688.612,-1688.612,-1688.612,-1688.612,1.714,-0.10%,30,888
D2F12,2012-01-05,-1690.326,-1690.326,-1690.326,-1690.326,1.81,-0.11%,30,888
D2F12,2012-01-04,-1692.136,-1692.136,-1692.136,-1692.136,-0.048,0.00%,0,858
D2F12,2012-01-03,-1692.088,-1692.088,-1692.088,-1692.088,-1.952,+0.12%,0,858
D2F12,2011-12-30,-1690.136,-1690.136,-1690.136,-1690.136,0,0.00%,0,1153
D2F12,2011-12-29,-1690.136,-1690.136,-1690.136,-1690.136,2,-0.12%,0,1153
D2F12,2011-12-28,-1692.136,-1692.136,-1692.136,-1692.136,-2.,+0.12%,0,1153
D2F12,2011-12-27,-1690.136,-1690.136,-1690.136,-1690.136,0,0.00%,0,1153
D2Z11,2011-12-23,-1690.136,-1690.136,-1690.136,-1690.136,0.932,-0.06%,0,1153
D2Z11,2011-12-22,-1691.068,-1691.068,-1691.068,-1691.068,1.136,-0.07%,0,1153
D2Z11,2011-12-21,-1692.204,-1692.204,-1692.204,-1692.204,-0.148,+0.01%,30,1153
D2Z11,2011-12-20,-1692.056,-1692.056,-1692.056,-1692.056,-0.966,+0.06%,0,1123
D2Z11,2011-12-19,-1691.09,-1691.09,-1691.09,-1691.09,-0.238,+0.01%,30,1123
D2Z11,2011-12-16,-1690.852,-1690.852,-1690.852,-1690.852,5.045,-0.30%,0,1133
D2Z11,2011-12-15,-1695.897,-1695.897,-1695.897,-1695.897,3.409,-0.20%,185,1133
D2Z11,2011-12-14,-1699.306,-1699.306,-1699.306,-1699.306,4.762,-0.28%,70,1063
D2Z11,2011-12-13,-1704.068,-1704.068,-1704.068,-1704.068,2.647,-0.16%,0,1035
D2Z11,2011-12-12,-1706.715,-1706.715,-1706.715,-1706.715,-1.454,+0.09%,75,1035
D2Z11,2011-12-09,-1705.261,-1705.261,-1705.261,-1705.261,0.034,0.00%,120,1035
D2Z11,2011-12-08,-1705.295,-1705.295,-1705.295,-1705.295,-1.546,+0.09%,0,1005
D2Z11,2011-12-07,-1703.749,-1703.749,-1703.749,-1703.749,-3.375,+0.20%,210,1005
D2Z11,2011-12-06,-1700.374,-1700.374,-1700.374,-1700.374,-12.113,+0.72%,0,885
D2Z11,2011-12-05,-1688.261,-1688.261,-1688.261,-1688.261,-0.478,+0.03%,0,885
D2Z11,2011-12-02,-1687.783,-1687.783,-1687.783,-1687.783,-0.159,+0.01%,0,885
D2Z11,2011-12-01,-1687.624,-1687.624,-1687.624,-1687.624,-1.886,+0.11%,0,885
D2Z11,2011-11-30,-1685.738,-1685.738,-1685.738,-1685.738,-13.,+0.78%,0,1252
D2Z11,2011-11-29,-1672.738,-1672.738,-1672.738,-1672.738,8,-0.48%,40,1252
D2Z11,2011-11-28,-1680.738,-1680.738,-1680.738,-1680.738,0,0.00%,0,1212
D2Z11,2011-11-25,-1680.738,-1680.738,-1680.738,-1680.738,-1.,+0.06%,0,1212
D2Z11,2011-11-23,-1679.738,-1679.738,-1679.738,-1679.738,1,-0.06%,60,1212
D2Z11,2011-11-22,-1680.738,-1680.738,-1680.738,-1680.738,-9.,+0.54%,30,1182
D2X11,2011-11-21,-1671.738,-1671.738,-1671.738,-1671.738,-3.546,+0.21%,0,1152
D2X11,2011-11-18,-1668.192,-1668.192,-1668.192,-1668.192,-1.591,+0.10%,90,1152
D2X11,2011-11-17,-1666.601,-1666.601,-1666.601,-1666.601,-1.181,+0.07%,0,1122
D2X11,2011-11-16,-1665.42,-1665.42,-1665.42,-1665.42,-1.137,+0.07%,0,1122
D2X11,2011-11-15,-1664.283,-1664.283,-1664.283,-1664.283,-1.636,+0.10%,30,1122
D2X11,2011-11-14,-1662.647,-1662.647,-1662.647,-1662.647,-1.909,+0.11%,0,1092
D2X11,2011-11-11,-1660.738,-1660.738,-1660.738,-1660.738,-0.273,+0.02%,0,1092
D2X11,2011-11-10,-1660.465,-1660.465,-1660.465,-1660.465,-1.545,+0.09%,0,1092
D2X11,2011-11-09,-1658.92,-1658.92,-1658.92,-1658.92,1.454,-0.09%,0,1092
D2X11,2011-11-08,-1660.374,-1660.374,-1660.374,-1660.374,0.091,-0.01%,0,1092
D2X11,2011-11-07,-1660.465,-1660.465,-1660.465,-1660.465,0.091,-0.01%,0,1092
D2X11,2011-11-04,-1660.556,-1660.556,-1660.556,-1660.556,0.091,-0.01%,0,1092
D2X11,2011-11-03,-1660.647,-1660.647,-1660.647,-1660.647,0.091,-0.01%,10,1092
D2X11,2011-11-02,-1660.738,-1660.738,-1660.738,-1660.738,0.363,-0.02%,0,1092
D2X11,2011-11-01,-1661.101,-1661.101,-1661.101,-1661.101,0.364,-0.02%,20,1092
D2X11,2011-10-31,-1661.465,-1661.465,-1661.465,-1661.465,-1.,+0.06%,60,1362
D2X11,2011-10-28,-1660.465,-1660.465,-1660.465,-1660.465,0,0.00%,10,1312
D2X11,2011-10-27,-1660.465,-1660.465,-1660.465,-1660.465,-2.,+0.12%,0,1312
D2X11,2011-10-26,-1658.465,-1658.465,-1658.465,-1658.465,6,-0.36%,0,1312
D2X11,2011-10-25,-1664.465,-1664.465,-1664.465,-1664.465,-6.,+0.36%,32,1312
D2X11,2011-10-24,-1658.465,-1658.465,-1658.465,-1658.465,3,-0.18%,120,1280
D2V11,2011-10-21,-1661.465,-1661.465,-1661.465,-1661.465,-0.059,0.00%,0,1240
D2V11,2011-10-20,-1661.406,-1661.406,-1661.406,-1661.406,-0.06,0.00%,0,1240
D2V11,2011-10-19,-1661.346,-1661.346,-1661.346,-1661.346,-0.059,0.00%,0,1240
D2V11,2011-10-18,-1661.287,-1661.287,-1661.287,-1661.287,0.416,-0.03%,0,1240
D2V11,2011-10-17,-1661.703,-1661.703,-1661.703,-1661.703,0.869,-0.05%,0,1240
D2V11,2011-10-14,-1662.572,-1662.572,-1662.572,-1662.572,-1.714,+0.10%,0,1240
D2V11,2011-10-13,-1660.858,-1660.858,-1660.858,-1660.858,0.107,-0.01%,0,1240
D2V11,2011-10-12,-1660.965,-1660.965,-1660.965,-1660.965,-0.559,+0.03%,0,1240
D2V11,2011-10-11,-1660.406,-1660.406,-1660.406,-1660.406,1.488,-0.09%,60,1240
D2V11,2011-10-10,-1661.894,-1661.894,-1661.894,-1661.894,4.643,-0.28%,130,1240
D2V11,2011-10-07,-1666.537,-1666.537,-1666.537,-1666.537,-0.274,+0.02%,0,1170
D2V11,2011-10-06,-1666.263,-1666.263,-1666.263,-1666.263,2.274,-0.14%,0,1170
D2V11,2011-10-05,-1668.537,-1668.537,-1668.537,-1668.537,4.773,-0.29%,0,1170
D2V11,2011-10-04,-1673.31,-1673.31,-1673.31,-1673.31,-3.285,+0.20%,0,1170
D2V11,2011-10-03,-1670.025,-1670.025,-1670.025,-1670.025,0.333,-0.02%,0,1170
D2V11,2011-09-30,-1670.358,-1670.358,-1670.358,-1670.358,-3.,+0.18%,65,1522
D2V11,2011-09-29,-1667.358,-1667.358,-1667.358,-1667.358,-3.,+0.18%,90,1482
D2V11,2011-09-28,-1664.358,-1664.358,-1664.358,-1664.358,-2.,+0.12%,0,1392
D2V11,2011-09-27,-1662.358,-1662.358,-1662.358,-1662.358,3,-0.18%,15,1392
D2V11,2011-09-26,-1665.358,-1665.358,-1665.358,-1665.358,0,0.00%,0,1387
D2V11,2011-09-23,-1665.358,-1665.358,-1665.358,-1665.358,-8.,+0.48%,10,1397
D2V11,2011-09-22,-1657.358,-1657.358,-1657.358,-1657.358,1,-0.06%,10,1397
D2U11,2011-09-21,-1658.358,-1658.358,-1658.358,-1658.358,0,0.00%,0,1407
D2U11,2011-09-20,-1658.358,-1658.358,-1658.358,-1658.358,-2.091,+0.13%,90,1407
D2U11,2011-09-19,-1656.267,-1656.267,-1656.267,-1656.267,-2.522,+0.15%,30,1317
D2U11,2011-09-16,-1653.745,-1653.745,-1653.745,-1653.745,0,0.00%,60,1287
D2U11,2011-09-15,-1653.745,-1653.745,-1653.745,-1653.745,-1.091,+0.07%,0,1227
D2U11,2011-09-14,-1652.654,-1652.654,-1652.654,-1652.654,-2.262,+0.14%,0,1227
D2U11,2011-09-13,-1650.392,-1650.392,-1650.392,-1650.392,0.807,-0.05%,70,1227
D2U11,2011-09-12,-1651.199,-1651.199,-1651.199,-1651.199,6.773,-0.41%,50,1237
D2U11,2011-09-09,-1657.972,-1657.972,-1657.972,-1657.972,1.545,-0.09%,0,1217
D2U11,2011-09-08,-1659.517,-1659.517,-1659.517,-1659.517,5.318,-0.32%,10,1217
D2U11,2011-09-07,-1664.835,-1664.835,-1664.835,-1664.835,3.637,-0.22%,0,1207
D2U11,2011-09-06,-1668.472,-1668.472,-1668.472,-1668.472,-5.455,+0.33%,20,1207
D2U11,2011-09-02,-1663.017,-1663.017,-1663.017,-1663.017,0.273,-0.02%,0,1207
D2U11,2011-09-01,-1663.29,-1663.29,-1663.29,-1663.29,0,0.00%,0,1207
D2U11,2011-08-31,-1663.29,-1663.29,-1663.29,-1663.29,2,-0.12%,0,1481
D2U11,2011-08-30,-1665.29,-1665.29,-1665.29,-1665.29,7,-0.42%,70,1481
D2U11,2011-08-29,-1672.29,-1672.29,-1672.29,-1672.29,0,0.00%,0,1471
D2U11,2011-08-26,-1672.29,-1672.29,-1672.29,-1672.29,0,0.00%,0,1471
D2U11,2011-08-25,-1672.29,-1672.29,-1672.29,-1672.29,-4.,+0.24%,40,1471
D2U11,2011-08-24,-1668.29,-1668.29,-1668.29,-1668.29,2,-0.12%,60,1441
D2Q11,2011-08-23,-1670.29,-1670.29,-1670.29,-1670.29,0.904,-0.05%,0,1381
D2Q11,2011-08-22,-1671.194,-1671.194,-1671.194,-1671.194,0.905,-0.05%,30,1381
D2Q11,2011-08-19,-1672.099,-1672.099,-1672.099,-1672.099,1.095,-0.07%,90,1351
D2Q11,2011-08-18,-1673.194,-1673.194,-1673.194,-1673.194,0.048,0.00%,0,1291
D2Q11,2011-08-17,-1673.242,-1673.242,-1673.242,-1673.242,-1.191,+0.07%,60,1291
D2Q11,2011-08-16,-1672.051,-1672.051,-1672.051,-1672.051,1.572,-0.09%,20,1261
D2Q11,2011-08-15,-1673.623,-1673.623,-1673.623,-1673.623,0.809,-0.05%,0,1241
D2Q11,2011-08-12,-1674.432,-1674.432,-1674.432,-1674.432,0.81,-0.05%,0,1241
D2Q11,2011-08-11,-1675.242,-1675.242,-1675.242,-1675.242,3.381,-0.20%,0,1241
